index,Tahun,Comments,preprocessed,tokenize_text,label,score
11,2024,@kang_komen69 laah si siska nya aja diperlakukan ky ratu ya wajar aja timbal balik???? ini udh ngasih duit pas2an byk permintaan lg??????,laah sih siska nya laku kaya ratu ya wajar timbal tertawa terbahakbahak tertawa terbahakbahak asih duit paspasan minta tertawa terbahakbahak tertawa terbahakbahak tertawa terbahakbahak,"['laah', 'sih', 'siska', 'nya', 'laku', 'kaya', 'ratu', 'ya', 'wajar', 'timbal', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak', 'asih', 'duit', 'paspasan', 'minta', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak']",positif,24
12,2024,Dede sop kayanya ga make produk murah ya? Soalnya kecium bgt bau duitnya??????????,adek sop kaya pakai produk murah ya cium banget bau duit wajah memelas tertawa terbahakbahak tertawa terbahakbahak tertawa terbahakbahak tertawa terbahakbahak,"['adek', 'sop', 'kaya', 'pakai', 'produk', 'murah', 'ya', 'cium', 'banget', 'bau', 'duit', 'wajah', 'memelas', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak']",positif,20
13,2024,Itu kimcinya memang enakk??selalu happy lihat pasangan ini semoga berbahagia selalu amin aminn??,kimcinya enak wajah senyum lebar mata hati happy lihat pasang moga bahagia amin amin api,"['kimcinya', 'enak', 'wajah', 'senyum', 'lebar', 'mata', 'hati', 'happy', 'lihat', 'pasang', 'moga', 'bahagia', 'amin', 'amin', 'api']",positif,18
14,2022,"Semoga langgeng sampai kakek nenek ya,????????, semoga bahagia selalu ??",moga langgeng kakek nenek ya lipat tangan lipat tangan lipat tangan lipat tangan moga bahagia lipat tangan,"['moga', 'langgeng', 'kakek', 'nenek', 'ya', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'moga', 'bahagia', 'lipat', 'tangan']",positif,17
15,2024,???????????? ????,hati merah hati merah hati merah angkat tangan angkat tangan angkat tangan lipat tangan lipat tangan,"['hati', 'merah', 'hati', 'merah', 'hati', 'merah', 'angkat', 'tangan', 'angkat', 'tangan', 'angkat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan']",positif,17
16,2024,Mohon maaf lahir batin ???? masyaallah berkah dan sehat selalu buat kak siska sekeluarga????????,mohon maaf lahir batin lipat tangan warna kulit cerah masyaallah berkah sehat kak siska keluarga tangan angkat dan rapat sama warna kulit cerah lipat tangan warna kulit cerah,"['mohon', 'maaf', 'lahir', 'batin', 'lipat', 'tangan', 'warna', 'kulit', 'cerah', 'masyaallah', 'berkah', 'sehat', 'kak', 'siska', 'keluarga', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'warna', 'kulit', 'cerah', 'lipat', 'tangan', 'warna', 'kulit', 'cerah']",positif,17
17,2022,akhirnya setelah sekian banyak menu sisca ada juga menu kesukaan aku yg sisca juga suka.. mie sakura emang terbaik ????,sekian menu sisca menu suka sisca suka mie sakura baik tertawa terbahakbahak tertawa terbahakbahak,"['sekian', 'menu', 'sisca', 'menu', 'suka', 'sisca', 'suka', 'mie', 'sakura', 'baik', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak']",positif,16
18,2022,Selamat untuk bro @jessnolimit. semoga langgeng sampai kakek dan nenek. GBU??????,selamat bro moga langgeng kakek nenek gbu lipat tangan lipat tangan lipat tangan,"['selamat', 'bro', 'moga', 'langgeng', 'kakek', 'nenek', 'gbu', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan']",positif,16
19,2024,"kl nonis ngasih bingkisan atau apapun dlm ke org islam itu biasa, tp kenapa ya gprnh liat org islam bagi2 ke org kristen wktu hari raya nya? nanya ajasi?? bahkan kl org islam ada sering minta2 THR pas lebaran, pas natal sm imlek juga ttp minta2 sama org nonis. jadi bingung akutuhhh ????????????",kalo non asih bingkis apa orang islam ya gprnh lihat orang islam bagibagi orang kristen raya nya ajasi wajah gembira urai air mata kalo orang islam minta thr pas lebaran pas natal imlek minta orang non bingung akutuh wajah gembira urai air mata wajah gembira urai air mata wajah gembira urai air mata wajah gembira urai air mata wajah gembira urai air mata wajah gembira urai air mata,"['kalo', 'non', 'asih', 'bingkis', 'apa', 'orang', 'islam', 'ya', 'gprnh', 'lihat', 'orang', 'islam', 'bagibagi', 'orang', 'kristen', 'raya', 'nya', 'ajasi', 'wajah', 'gembira', 'urai', 'air', 'mata', 'kalo', 'orang', 'islam', 'minta', 'thr', 'pas', 'lebaran', 'pas', 'natal', 'imlek', 'minta', 'orang', 'non', 'bingung', 'akutuh', 'wajah', 'gembira', 'urai', 'air', 'mata', 'wajah', 'gembira', 'urai', 'air', 'mata', 'wajah', 'gembira', 'urai', 'air', 'mata', 'wajah', 'gembira', 'urai', 'air', 'mata', 'wajah', 'gembira', 'urai', 'air', 'mata', 'wajah', 'gembira', 'urai', 'air', 'mata']",positif,16
20,2024,alhamdulillah coba sendiri deh scatter- nya sering nyangkut dan dikasih pecahan yang bagus mantap ini nyobain di ???????????????? senyum- senyum sendiri dibuatnya tanpa pola aneh anehmain disini,alhamdulillah coba deh scatter nya nyangkut kasih pecah bagus mantap coba  senyum senyum pola aneh anehmain,"['alhamdulillah', 'coba', 'deh', 'scatter', 'nya', 'nyangkut', 'kasih', 'pecah', 'bagus', 'mantap', 'coba', 'senyum', 'senyum', 'pola', 'aneh', 'anehmain']",positif,16
21,2020,Di sini gue bersyukur dan pengin teriak2 ke dunia bahwa: Alhamdulillah Indonesia punya Indomie yang ga pakai Boba dan kuas teh manis ?hidup Indomie mie enak sejuta umat,gue syukur pengin teriak dunia alhamdulillah indonesia indomie pakai boba kuas teh manis hidup indomie mie enak juta umat,"['gue', 'syukur', 'pengin', 'teriak', 'dunia', 'alhamdulillah', 'indonesia', 'indomie', 'pakai', 'boba', 'kuas', 'teh', 'manis', 'hidup', 'indomie', 'mie', 'enak', 'juta', 'umat']",positif,15
22,2021,@nadyagstn2808 mari di coba pas di asrama agek??,mari coba pas asrama agek tertawa terbahakbahak,"['mari', 'coba', 'pas', 'asrama', 'agek', 'tertawa', 'terbahakbahak']",positif,15
23,2021,@fqrmnr makin aneh ajaa ??????,aneh tertawa terbahakbahak tertawa terbahakbahak tertawa terbahakbahak,"['aneh', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak']",positif,15
24,2022,"YA ALLAH SAMPE KE BAWA MIMPI DAPET IPHONE 14PROMAX DARI KAK @siscakohl  dan kak @jessnolimit  semoga dibaca sama kak siscakohl dan kak justine, amin ya allah ????",ya allah bawa mimpi iphone promax kak kak moga baca kak siscakohl kak justine amin ya allah hati merah hati merah,"['ya', 'allah', 'bawa', 'mimpi', 'iphone', 'promax', 'kak', 'kak', 'moga', 'baca', 'kak', 'siscakohl', 'kak', 'justine', 'amin', 'ya', 'allah', 'hati', 'merah', 'hati', 'merah']",positif,15
25,2023,Kompak selalu y bumil n calon pamud??????????????????,kompak ya bumil n calon pamud wajah gembira dengan mata bahagia wajah gembira dengan mata bahagia wajah gembira dengan mata bahagia wajah gembira dengan mata bahagia wajah gembira dengan mata bahagia hati sinar hati sinar hati sinar hati sinar,"['kompak', 'ya', 'bumil', 'n', 'calon', 'pamud', 'wajah', 'gembira', 'dengan', 'mata', 'bahagia', 'wajah', 'gembira', 'dengan', 'mata', 'bahagia', 'wajah', 'gembira', 'dengan', 'mata', 'bahagia', 'wajah', 'gembira', 'dengan', 'mata', 'bahagia', 'wajah', 'gembira', 'dengan', 'mata', 'bahagia', 'hati', 'sinar', 'hati', 'sinar', 'hati', 'sinar', 'hati', 'sinar']",positif,15
26,2023,"Maasya allah,, sehat sehat bumil ?? bismillah dapet ipad untuk kuliah ?? @araa_1101",maasya allah sehat sehat bumil bismillah ipad kuliah,"['maasya', 'allah', 'sehat', 'sehat', 'bumil', 'bismillah', 'ipad', 'kuliah']",positif,15
27,2023,Selamat lahiran dengan selamat dan lancar,selamat lahir selamat lancar,"['selamat', 'lahir', 'selamat', 'lancar']",positif,15
28,2024,assalamualaikum warahmatullahi ?? semoga ada rezekinya buat saya amiin yarobb kunpayakun ??????,assalamualaikum warahmatullahi lipat tangan moga rezeki amin yarob kunpayakun tangan angkat dan rapat sama hati merah hati merah,"['assalamualaikum', 'warahmatullahi', 'lipat', 'tangan', 'moga', 'rezeki', 'amin', 'yarob', 'kunpayakun', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'hati', 'merah', 'hati', 'merah']",positif,15
29,2024,MasyaAllah si adik bayikk??????Sehat2 selalu adek bayik.. Bismillah semoga ada kesempatan biar bisa ketemu langsung sama kaka @jessnolimit  sama istri dan dede bayik??????Smoga ada rezeki buat saya,masyaallah sih adik bayik wajah senyum lebar mata hati wajah senyum lebar mata hati hati merah sehatsehat adek bayik bismillah moga sempat biar ketemu langsung kakak istri adek bayik wajah senyum dengan hati wajah senyum dengan hati wajah senyum dengan hati moga rezeki,"['masyaallah', 'sih', 'adik', 'bayik', 'wajah', 'senyum', 'lebar', 'mata', 'hati', 'wajah', 'senyum', 'lebar', 'mata', 'hati', 'hati', 'merah', 'sehatsehat', 'adek', 'bayik', 'bismillah', 'moga', 'sempat', 'biar', 'ketemu', 'langsung', 'kakak', 'istri', 'adek', 'bayik', 'wajah', 'senyum', 'dengan', 'hati', 'wajah', 'senyum', 'dengan', 'hati', 'wajah', 'senyum', 'dengan', 'hati', 'moga', 'rezeki']",positif,15
30,2024,Hii.. halo.. i love youu.. i love youu... I love youu.. Mama.. Sayang Sophiaaa.. ?????? lembutt bettt tutur katanyaa,hi halo i love you i love you i love you mama sayang sophia hati merah hati merah hati merah lembut banget,"['hi', 'halo', 'i', 'love', 'you', 'i', 'love', 'you', 'i', 'love', 'you', 'mama', 'sayang', 'sophia', 'hati', 'merah', 'hati', 'merah', 'hati', 'merah', 'lembut', 'banget']",positif,15
31,2024,???????? sehat dan happy selalu nak??????,hati merah hati merah hati merah hati merah sehat happy nak hati merah hati merah hati merah,"['hati', 'merah', 'hati', 'merah', 'hati', 'merah', 'hati', 'merah', 'sehat', 'happy', 'nak', 'hati', 'merah', 'hati', 'merah', 'hati', 'merah']",positif,15
32,2022,"Bersyukur tidak pada orang sederhana saja, tapi orang berada pun tetap bersyukur, good attitude ??",syukur orang sederhana orang syukur good attitude hati merah,"['syukur', 'orang', 'sederhana', 'orang', 'syukur', 'good', 'attitude', 'hati', 'merah']",positif,14
33,2022,"Apapun makanannya, harus tetap bersyukur??????",apa makan syukur angkat tangan angkat tangan angkat tangan,"['apa', 'makan', 'syukur', 'angkat', 'tangan', 'angkat', 'tangan', 'angkat', 'tangan']",positif,14
34,2023,"Gemess..?? Selamat ya @jessnolimits @siscakohl,bahagia selalu..bulan lahirnya sama dengan bulan lahir saya.semoga nular saya bisa punya baby..",gemas wajah senyum lebar mata hati selamat ya bahagia lahir lahir sayasemoga nular baby,"['gemas', 'wajah', 'senyum', 'lebar', 'mata', 'hati', 'selamat', 'ya', 'bahagia', 'lahir', 'lahir', 'sayasemoga', 'nular', 'baby']",positif,14
35,2024,"Kak siska mau iphone untuk lebaran, hpku layarnya udah rusak dan pengeluaran 2017 jadi sering ngelag. Bismillahh notice????????????",kak siska iphone lebaran hpku layar rusak keluar ngelag bismillah notice hati merah hati merah api api angkat tangan angkat tangan,"['kak', 'siska', 'iphone', 'lebaran', 'hpku', 'layar', 'rusak', 'keluar', 'ngelag', 'bismillah', 'notice', 'hati', 'merah', 'hati', 'merah', 'api', 'api', 'angkat', 'tangan', 'angkat', 'tangan']",positif,14
36,2021,@hidayahnurul04 yaampuuun  nuruull makasih ?? mari kita cobaa yuk rul ??????,yaampuun nuruul terima kasih tertawa terbahakbahak mari coba yuk rul wajah gembira urai air mata wajah gembira urai air mata wajah gembira urai air mata,"['yaampuun', 'nuruul', 'terima', 'kasih', 'tertawa', 'terbahakbahak', 'mari', 'coba', 'yuk', 'rul', 'wajah', 'gembira', 'urai', 'air', 'mata', 'wajah', 'gembira', 'urai', 'air', 'mata', 'wajah', 'gembira', 'urai', 'air', 'mata']",positif,13
37,2022,"haii jes sisca, aku flashback sampe kesiniii ohya selamat untuk kelahiran baby shopia ??????",hai jes sisca flashback kesini ohya selamat lahir baby shopia hati merah hati merah hati merah,"['hai', 'jes', 'sisca', 'flashback', 'kesini', 'ohya', 'selamat', 'lahir', 'baby', 'shopia', 'hati', 'merah', 'hati', 'merah', 'hati', 'merah']",positif,13
38,2023,Semoga ada rezky q dari pasangan yg comell nie aamiin??,moga rezky ku pasang comel amin tangan angkat dan rapat sama,"['moga', 'rezky', 'ku', 'pasang', 'comel', 'amin', 'tangan', 'angkat', 'dan', 'rapat', 'sama']",positif,13
39,2023,",dri Thun 2020 ngefollow KK,tpi ngga prna dapat,bismillah rezeki????",ngefollow prna bismillah rezeki tangan angkat dan rapat sama hati merah,"['ngefollow', 'prna', 'bismillah', 'rezeki', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'hati', 'merah']",positif,13
40,2024,"Pengen dapat hadiah stroller nya ,soalnya bentar lagi lahiran .semoga beruntung????@siscakohl",pengin hadiah stroller nya bentar lahir moga untung tangan angkat dan rapat sama lipat tangan,"['pengin', 'hadiah', 'stroller', 'nya', 'bentar', 'lahir', 'moga', 'untung', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'lipat', 'tangan']",positif,13
41,2024,"Semoga rezeki ank aku y KK,,sehat dn mudah rezeki ny...",moga rezeki anak ya sehat mudah rezeki nya,"['moga', 'rezeki', 'anak', 'ya', 'sehat', 'mudah', 'rezeki', 'nya']",positif,13
42,2024,gak kenal tapi sayang banget sama keluarga ini. makasih yaa udah jadi manusia positif vibes ??,kenal sayang banget keluarga terima kasih ya manusia positif vibes hati merah,"['kenal', 'sayang', 'banget', 'keluarga', 'terima', 'kasih', 'ya', 'manusia', 'positif', 'vibes', 'hati', 'merah']",positif,13
43,2021,Kak siska pinjem duit 5 juta dong????,kak siska pinjem duit juta tertawa terbahakbahak tertawa terbahakbahak,"['kak', 'siska', 'pinjem', 'duit', 'juta', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak']",positif,12
44,2021,Wah satu lumpia duriannya jadi 30 juta dehh..????????..,lumpia durian juta deh tepuk tangan tepuk tangan angkat tangan angkat tangan,"['lumpia', 'durian', 'juta', 'deh', 'tepuk', 'tangan', 'tepuk', 'tangan', 'angkat', 'tangan', 'angkat', 'tangan']",positif,12
45,2021,@supriandidoank ??????,wajah pesta wajah pesta wajah pesta,"['wajah', 'pesta', 'wajah', 'pesta', 'wajah', 'pesta']",positif,12
46,2021,"Bikinkan sai itu dule Coto Makassar daging Begituang,mauku tong tauki Responnta' anak muda????@yanasar19",bikin sai dule coto makassar daging begituang mau tong tauki responnta anak muda tertawa terbahakbahak tertawa terbahakbahak,"['bikin', 'sai', 'dule', 'coto', 'makassar', 'daging', 'begituang', 'mau', 'tong', 'tauki', 'responnta', 'anak', 'muda', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak']",positif,12
47,2022,@daapa.12 kalo saingan cari yg sepadan bang ??????,kalo saing cari padan bang tertawa terbahakbahak tertawa terbahakbahak tertawa terbahakbahak,"['kalo', 'saing', 'cari', 'padan', 'bang', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak']",positif,12
48,2022,Semoga selalu diberikan kesehatan dan ke bahagiaan bersama istri tercinta nya kak jess dan semuga semangat terus bikin konten nya,moga sehat bahagia istri cinta nya kak jes semuga semangat bikin konten nya,"['moga', 'sehat', 'bahagia', 'istri', 'cinta', 'nya', 'kak', 'jes', 'semuga', 'semangat', 'bikin', 'konten', 'nya']",positif,12
49,2023,Paket 1 jam seharga PC ROG??,paket jam harga pc rog tertawa terbahakbahak,"['paket', 'jam', 'harga', 'pc', 'rog', 'tertawa', 'terbahakbahak']",positif,12
50,2023,Bismillah udah paket lengkap banget kak mau juga donk di paketin sama kakak amin dikabulkan ??,bismillah paket lengkap banget kak paketin kakak amin kabul tangan angkat dan rapat sama,"['bismillah', 'paket', 'lengkap', 'banget', 'kak', 'paketin', 'kakak', 'amin', 'kabul', 'tangan', 'angkat', 'dan', 'rapat', 'sama']",positif,12
51,2023,Bismillah semoga beruntung ??,bismillah moga untung tangan angkat dan rapat sama,"['bismillah', 'moga', 'untung', 'tangan', 'angkat', 'dan', 'rapat', 'sama']",positif,12
52,2023,"Habis lahiran kasih support, semangat, doa baik2. Dokter anak nya pasti sudah kasih suggest yang baik.",habis lahir kasih support semangat doa baikbaik dokter anak nya kasih suggest,"['habis', 'lahir', 'kasih', 'support', 'semangat', 'doa', 'baikbaik', 'dokter', 'anak', 'nya', 'kasih', 'suggest']",positif,12
53,2024,Murah rezeki panjang umur sehat selalu dan di lancarkan segalanya buat kak sisca bang jesno dan babynya ??,murah rezeki umur sehat lancar kak sisca bang jesno babynya hati merah,"['murah', 'rezeki', 'umur', 'sehat', 'lancar', 'kak', 'sisca', 'bang', 'jesno', 'babynya', 'hati', 'merah']",positif,12
54,2020,"@zhuuying hahaa, bener.. tunggu aja kalo umur udah mw 30 th, pas di medical check up.. keliatan dah tu gula darah meningkat, plus fatty liver.. ?",haha tunggu kalo umur pas medical check up deh gula darah tingkat plus fatty liver,"['haha', 'tunggu', 'kalo', 'umur', 'pas', 'medical', 'check', 'up', 'deh', 'gula', 'darah', 'tingkat', 'plus', 'fatty', 'liver']",positif,11
55,2021,@hafidzamtm17 apalah daya yg belinya gorio rio??????,apa daya beli gorio rio tertawa terbahakbahak tertawa terbahakbahak tertawa terbahakbahak,"['apa', 'daya', 'beli', 'gorio', 'rio', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak']",positif,11
56,2022,bersyukur pake hoodie gucci:") w bersyukur pake baju trift??,syukur pakai hoodie gucci gue syukur pakai baju trift wajah gembira urai air mata,"['syukur', 'pakai', 'hoodie', 'gucci', 'gue', 'syukur', 'pakai', 'baju', 'trift', 'wajah', 'gembira', 'urai', 'air', 'mata']",positif,11
57,2022,Gk kuat liat ke gemesaaaan ini ????????????. Mo trbang ajah ke marss,kuat lihat gesa wajah senyum lebar mata hati api api api api api trbang mars,"['kuat', 'lihat', 'gesa', 'wajah', 'senyum', 'lebar', 'mata', 'hati', 'api', 'api', 'api', 'api', 'api', 'trbang', 'mars']",positif,11
58,2023,"@vairanoviratrianaa iya juga ya, ?? minta uang sejuta dong ???? @siscakohl",iya ya tertawa terbahakbahak uang juta wajah menang keras tertawa terbahakbahak,"['iya', 'ya', 'tertawa', 'terbahakbahak', 'uang', 'juta', 'wajah', 'menang', 'keras', 'tertawa', 'terbahakbahak']",positif,11
59,2023,"Masih sulit percaya babynolimit bajunya merk libby. Kirain lgsg dior ato chanel gitu, minimal zara lah. Soalnya anakku aku beliin produk2 libby juga, dan bajunya rata2 harga 30-40rb hahaha",sulit percaya babynolimit baju merk libby langsung dior chanel minimal zara anak belikan produk libby baju ratarata harga rb hahaha,"['sulit', 'percaya', 'babynolimit', 'baju', 'merk', 'libby', 'langsung', 'dior', 'chanel', 'minimal', 'zara', 'anak', 'belikan', 'produk', 'libby', 'baju', 'ratarata', 'harga', 'rb', 'hahaha']",positif,11
60,2023,"Baby No Limit di akte kelahirannya Singapore, 8 September 2023 ????",baby no limit akte lahir singapore september wajah gembira dengan mata bahagia wajah gembira dengan mata bahagia,"['baby', 'no', 'limit', 'akte', 'lahir', 'singapore', 'september', 'wajah', 'gembira', 'dengan', 'mata', 'bahagia', 'wajah', 'gembira', 'dengan', 'mata', 'bahagia']",positif,11
61,2023,Shopia kayaknya ga tuhan tanya sampe 79? deh. Baru 1x ditanya tuhan "kamu mau jadi anak jess dan sisca?" Langsung bilang YES BANGET tuhan ??,shopia kayak tuhan deh x tuhan anak jes sisca langsung bilang yes banget tuhan wajah senyum lebar mata hati,"['shopia', 'kayak', 'tuhan', 'deh', 'x', 'tuhan', 'anak', 'jes', 'sisca', 'langsung', 'bilang', 'yes', 'banget', 'tuhan', 'wajah', 'senyum', 'lebar', 'mata', 'hati']",positif,11
62,2023,"Gemessss bgt liat papanya kayanya tuuhh sebahagia itu loh dia, mantaapp bang justin??",gemas banget lihat papa kaya tuh bahagia loh mantap bang justin tepuk tangan,"['gemas', 'banget', 'lihat', 'papa', 'kaya', 'tuh', 'bahagia', 'loh', 'mantap', 'bang', 'justin', 'tepuk', 'tangan']",positif,11
63,2024,"@carolinajelitalarose kalo penglihatan saya, makin gede sedikit-sedikit muka mamanya malah muncul. Pas baru-baru lahir itu baru yang mirip banget papanya.",kalo lihat gede sedikitsedikit muka mama muncul pas barubaru lahir banget papa,"['kalo', 'lihat', 'gede', 'sedikitsedikit', 'muka', 'mama', 'muncul', 'pas', 'barubaru', 'lahir', 'banget', 'papa']",positif,11
64,2024,"Mood banget liat sophiaa, auto senyum pas liat ??",mood banget lihat sophia auto senyum pas lihat wajah senyum lebar mata hati,"['mood', 'banget', 'lihat', 'sophia', 'auto', 'senyum', 'pas', 'lihat', 'wajah', 'senyum', 'lebar', 'mata', 'hati']",positif,11
65,2020,Emang itu teh kukitata tuh peliharaan kalo emang peliharaan itu nama nya apa peliharaan nya,teh kukitata tuh pelihara kalo pelihara nama nya pelihara nya,"['teh', 'kukitata', 'tuh', 'pelihara', 'kalo', 'pelihara', 'nama', 'nya', 'pelihara', 'nya']",positif,10
