index,Tahun,Comments,preprocessed,tokenize_text,label,score
11,2024,"Mau donk KK,,,hpku sdh aku pasangin karet2 ini bismillah ??,,,,, HAPPY BIRTHDAY YA KAK WILLIE SEMOGA PANJANG UMUR DAN DIMURAHKAN LAGI REJEKINYA SAMA YG KUASA ????",hpku pasangin karet bismillah tangan angkat dan rapat sama happy birthday ya kak willie moga umur murah rejekinya kuasa wajah pesta tepuk tangan,"['hpku', 'pasangin', 'karet', 'bismillah', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'happy', 'birthday', 'ya', 'kak', 'willie', 'moga', 'umur', 'murah', 'rejekinya', 'kuasa', 'wajah', 'pesta', 'tepuk', 'tangan']",positif,30
12,2020,"  ??gua kesini gara2 video rating Tante ????????, fb kuy mabarr Among US wkwk",tertawa terbahakbahak gua kesini garagara video rating tante tertawa terbahakbahak tertawa terbahakbahak tertawa terbahakbahak tertawa terbahakbahak fb yuk mabar among us wkwk,"['tertawa', 'terbahakbahak', 'gua', 'kesini', 'garagara', 'video', 'rating', 'tante', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak', 'fb', 'yuk', 'mabar', 'among', 'us', 'wkwk']",positif,29
13,2024,"Y Allah trimakasih kak Willi, sudah memberikan kebahagiaan pd mereka, semoga KK selalu sehat, dn diberikan Rezki yg lebih oleh Allah SWT ??",ya allah trimakasih kak willi bahagia moga sehat rezeki allah swt tangan angkat dan rapat sama,"['ya', 'allah', 'trimakasih', 'kak', 'willi', 'bahagia', 'moga', 'sehat', 'rezeki', 'allah', 'swt', 'tangan', 'angkat', 'dan', 'rapat', 'sama']",positif,29
14,2021,"Ya Allah kak willie Salim mulia nya hatimu kk...semoga selalu jadi panutan untuk orang2 banyak ya kk...semoga Rezky nya lancar trus,sukses selalu dan panjang umur nya ya kk....Masi ada ternyata orng baik didunia ini seperti KK willie??????????",ya allah kak willie salim mulia nya hati moga panutan orangorang ya moga rezky nya lancar sukses umur nya ya orang dunia willie angkat tangan angkat tangan angkat tangan wajah senyum lebar mata hati wajah senyum lebar mata hati,"['ya', 'allah', 'kak', 'willie', 'salim', 'mulia', 'nya', 'hati', 'moga', 'panutan', 'orangorang', 'ya', 'moga', 'rezky', 'nya', 'lancar', 'sukses', 'umur', 'nya', 'ya', 'orang', 'dunia', 'willie', 'angkat', 'tangan', 'angkat', 'tangan', 'angkat', 'tangan', 'wajah', 'senyum', 'lebar', 'mata', 'hati', 'wajah', 'senyum', 'lebar', 'mata', 'hati']",positif,27
15,2022,????????semoga kak Willie sehat selalu dan sukses dan di murahkan rezekinya aminnnn,angkat tangan angkat tangan angkat tangan angkat tangan moga kak willie sehat sukses murah rezeki amin,"['angkat', 'tangan', 'angkat', 'tangan', 'angkat', 'tangan', 'angkat', 'tangan', 'moga', 'kak', 'willie', 'sehat', 'sukses', 'murah', 'rezeki', 'amin']",positif,27
16,2023,Kapan ya bisa dapat rezeki dr Willie Salim....sehat selalu'panjang umur rezekinya semakin berlimpah..tetaplah jd orng baik..membantu yg membutuhkan..??????????????,ya rezeki willie salim sehat selalupanjang umur rezeki limpah tetap orang bantu butuh tangan angkat dan rapat sama tangan angkat dan rapat sama lipat tangan lipat tangan jempol ke atas wajah senyum dengan hati wajah senyum dengan hati,"['ya', 'rezeki', 'willie', 'salim', 'sehat', 'selalupanjang', 'umur', 'rezeki', 'limpah', 'tetap', 'orang', 'bantu', 'butuh', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'lipat', 'tangan', 'lipat', 'tangan', 'jempol', 'ke', 'atas', 'wajah', 'senyum', 'dengan', 'hati', 'wajah', 'senyum', 'dengan', 'hati']",positif,27
17,2024,"Happy birthday kak willie salim,semoga panjang umut bng sehat selalu,amin????",happy birthday kak willie salim moga umut bang sehat amin tangan angkat dan rapat sama tangan angkat dan rapat sama,"['happy', 'birthday', 'kak', 'willie', 'salim', 'moga', 'umut', 'bang', 'sehat', 'amin', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'tangan', 'angkat', 'dan', 'rapat', 'sama']",positif,27
18,2021,Ya allah semoga ada rejeki ku dari ka   mau borong sya'i ku gk trllu bnyak kok nyar'i nya ka hanya sekitar 30 pic kurang lebih amin ??????,ya allah moga rejeki ku kak borong i ku trllu nyar i nya kak pic amin tangan angkat dan rapat sama tangan angkat dan rapat sama tangan angkat dan rapat sama,"['ya', 'allah', 'moga', 'rejeki', 'ku', 'kak', 'borong', 'i', 'ku', 'trllu', 'nyar', 'i', 'nya', 'kak', 'pic', 'amin', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'tangan', 'angkat', 'dan', 'rapat', 'sama']",positif,26
19,2023,Halo KK Willie salim smg sehat pajang umur sllu bagia sukses sllu amin ya robbl Al-Amin ????????????????????????????????????????????,halo willie salim moga sehat pajang umur bagia sukses amin ya robbl alamin lipat tangan lipat tangan hati hati jempol ke atas jempol ke atas jempol ke atas lipat tangan lipat tangan hati jempol ke atas lipat tangan hati lipat tangan jempol ke atas lipat tangan hati lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan,"['halo', 'willie', 'salim', 'moga', 'sehat', 'pajang', 'umur', 'bagia', 'sukses', 'amin', 'ya', 'robbl', 'alamin', 'lipat', 'tangan', 'lipat', 'tangan', 'hati', 'hati', 'jempol', 'ke', 'atas', 'jempol', 'ke', 'atas', 'jempol', 'ke', 'atas', 'lipat', 'tangan', 'lipat', 'tangan', 'hati', 'jempol', 'ke', 'atas', 'lipat', 'tangan', 'hati', 'lipat', 'tangan', 'jempol', 'ke', 'atas', 'lipat', 'tangan', 'hati', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan']",positif,26
20,2023,"Masya Allah ??,Semogah sehat selalu , murah rezki selalu banyak dan selalu  dalam lindungan Allah ????Aamiin",masya allah wajah malaikat semogah sehat murah rezeki lindung allah wajah malaikat tangan angkat dan rapat sama amin,"['masya', 'allah', 'wajah', 'malaikat', 'semogah', 'sehat', 'murah', 'rezeki', 'lindung', 'allah', 'wajah', 'malaikat', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'amin']",positif,26
21,2024,HBD Wilisalim?????????????????? semoga panjang umur dan sehat selalu ??????????????,hbd wilisalim party popper party popper party popper party popper party popper hati merah hati merah hati merah hati merah moga umur sehat party popper party popper party popper wajah pesta wajah pesta wajah pesta wajah pesta,"['hbd', 'wilisalim', 'party', 'popper', 'party', 'popper', 'party', 'popper', 'party', 'popper', 'party', 'popper', 'hati', 'merah', 'hati', 'merah', 'hati', 'merah', 'hati', 'merah', 'moga', 'umur', 'sehat', 'party', 'popper', 'party', 'popper', 'party', 'popper', 'wajah', 'pesta', 'wajah', 'pesta', 'wajah', 'pesta', 'wajah', 'pesta']",positif,26
22,2024,Kasih uang lah ABG banyak kali uang nya ??????????,kasih uang abang kali uang nya tangan angkat dan rapat sama tangan angkat dan rapat sama tangan angkat dan rapat sama tangan angkat dan rapat sama tangan angkat dan rapat sama,"['kasih', 'uang', 'abang', 'kali', 'uang', 'nya', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'tangan', 'angkat', 'dan', 'rapat', 'sama']",positif,26
23,2021,Ya Allah Bapaknya pasti senang banget ?? Terima Kasih Koko   Semoga tambah banyaaaak Rejekinya..Aamiin YRA ?? Bismillah Ya Allah...Mudah2an Aku dapat THR dari Koko Willie..Aamiin YRA ????,ya allah bapak senang banget wajah menang terima kasih koko moga rejekinya amin yra lipat tangan bismillah ya allah mudahmudahan thr koko willie amin yra tangan angkat dan rapat sama lipat tangan,"['ya', 'allah', 'bapak', 'senang', 'banget', 'wajah', 'menang', 'terima', 'kasih', 'koko', 'moga', 'rejekinya', 'amin', 'yra', 'lipat', 'tangan', 'bismillah', 'ya', 'allah', 'mudahmudahan', 'thr', 'koko', 'willie', 'amin', 'yra', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'lipat', 'tangan']",positif,25
24,2024,Happy birthday bang Willie semoga panjang umur dan sehat??????????,happy birthday bang willie moga umur sehat tangan angkat dan rapat sama tangan angkat dan rapat sama party popper party popper party popper,"['happy', 'birthday', 'bang', 'willie', 'moga', 'umur', 'sehat', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'party', 'popper', 'party', 'popper', 'party', 'popper']",positif,25
25,2020,Foto ke 8...Anak2 senang difoto ?? Bismillah Ya Allah...Mudah2an Aku dapat THR dari Koko Willie..Aamiin YRA ????,foto anakanak senang foto wajah senyum dengan mata bahagia bismillah ya allah mudahmudahan thr koko willie amin yra tangan angkat dan rapat sama lipat tangan,"['foto', 'anakanak', 'senang', 'foto', 'wajah', 'senyum', 'dengan', 'mata', 'bahagia', 'bismillah', 'ya', 'allah', 'mudahmudahan', 'thr', 'koko', 'willie', 'amin', 'yra', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'lipat', 'tangan']",positif,24
26,2021,"Itu kakek ku ?? ya allah terimakasih bang, udah mau borong dagangan kakek aku, sehat2 yaa bang willie, semoga sukses selalu ????",kakek ku wajah senyum dengan air mata ya allah terimakasih bang borong dagang kakek sehatsehat ya bang willie moga sukses tangan angkat dan rapat sama wajah malaikat,"['kakek', 'ku', 'wajah', 'senyum', 'dengan', 'air', 'mata', 'ya', 'allah', 'terimakasih', 'bang', 'borong', 'dagang', 'kakek', 'sehatsehat', 'ya', 'bang', 'willie', 'moga', 'sukses', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'wajah', 'malaikat']",positif,24
27,2022,Makasih....bang Willie. Telah Jadi Malaikat Penolong ??????. Semoga Tuhan Memberkatimu... Aamiin ??????,terima kasih bang willie malaikat tolong hati merah hati merah hati merah moga tuhan berkat amin tangan angkat dan rapat sama tangan angkat dan rapat sama tangan angkat dan rapat sama,"['terima', 'kasih', 'bang', 'willie', 'malaikat', 'tolong', 'hati', 'merah', 'hati', 'merah', 'hati', 'merah', 'moga', 'tuhan', 'berkat', 'amin', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'tangan', 'angkat', 'dan', 'rapat', 'sama']",positif,24
28,2024,Happy birthday ci vilmei semoga panjang umur sehat jadi anak yang berbakti ke dua orang tua di lancarkan rezekinya ????,happy birthday ci vilmei moga umur sehat anak bakti orang tua lancar rezeki kue ulang tahun wajah pesta,"['happy', 'birthday', 'ci', 'vilmei', 'moga', 'umur', 'sehat', 'anak', 'bakti', 'orang', 'tua', 'lancar', 'rezeki', 'kue', 'ulang', 'tahun', 'wajah', 'pesta']",positif,24
29,2024,Kak semoga panjang umur sehat selalu happy birthday ya untuk kak Willy terima kasih semoga panjang umur terima kasih yang ke ulang tahun 22,kak moga umur sehat happy birthday ya kak willy terima kasih moga umur terima kasih ulang,"['kak', 'moga', 'umur', 'sehat', 'happy', 'birthday', 'ya', 'kak', 'willy', 'terima', 'kasih', 'moga', 'umur', 'terima', 'kasih', 'ulang']",positif,24
30,2020,Koko   foto bersama teman2 sejatinya yah ?? Bismillah Ya Allah...Mudah2an Aku dapat THR dari Koko Willie..Aamiin YRA ????,koko foto temanteman sejati ya wajah senyum dengan mata bahagia bismillah ya allah mudahmudahan thr koko willie amin yra tangan angkat dan rapat sama lipat tangan,"['koko', 'foto', 'temanteman', 'sejati', 'ya', 'wajah', 'senyum', 'dengan', 'mata', 'bahagia', 'bismillah', 'ya', 'allah', 'mudahmudahan', 'thr', 'koko', 'willie', 'amin', 'yra', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'lipat', 'tangan']",positif,23
31,2020,Bismillah   pengen punya iPhone semoga Allah SWT permudah dan meringankan kak willie salim Untuk memberikan nya kepada kami aamiin aamiin aamiin ya rabbal aalaamiin??,bismillah pengin iphone moga allah swt mudah ringan kak willie salim nya amin amin amin ya rabbal aalaamiin tangan angkat dan rapat sama,"['bismillah', 'pengin', 'iphone', 'moga', 'allah', 'swt', 'mudah', 'ringan', 'kak', 'willie', 'salim', 'nya', 'amin', 'amin', 'amin', 'ya', 'rabbal', 'aalaamiin', 'tangan', 'angkat', 'dan', 'rapat', 'sama']",positif,23
32,2021,MARI KITA BORONG.SMOGA DAPAT THR DR KAK WILLIE.AMIN YA ALLAH??????,mari borongsemoga thr kak willieamin ya allah tangan angkat dan rapat sama tangan angkat dan rapat sama tangan angkat dan rapat sama,"['mari', 'borongsemoga', 'thr', 'kak', 'willieamin', 'ya', 'allah', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'tangan', 'angkat', 'dan', 'rapat', 'sama']",positif,23
33,2021,"Subhanallah kawillie semoga rezky nya makin bertambah bermanfaat untuk ka Willie smoga disehatkan kluarga nyaa, Dann dijauhan dari segala yang tidak diingin kan????????",subhanallah kawillie moga rezky nya tambah manfaat kak willie moga sehat keluarga nya jauh ingin tangan angkat dan rapat sama tangan angkat dan rapat sama wajah senyum dengan mata bahagia hati merah,"['subhanallah', 'kawillie', 'moga', 'rezky', 'nya', 'tambah', 'manfaat', 'kak', 'willie', 'moga', 'sehat', 'keluarga', 'nya', 'jauh', 'ingin', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'wajah', 'senyum', 'dengan', 'mata', 'bahagia', 'hati', 'merah']",positif,23
34,2022,"Bismillah Belum Pernah Beruntung,Smoga Ramadhan Ini penuh berkah,Sehat Terus Abang Nya Murah rezekinya Lancar Terus Bangg??...[][]",bismillah untung moga ramadhan penuh berkah sehat abang nya murah rezeki lancar bang wajah gembira dengan mata bahagia,"['bismillah', 'untung', 'moga', 'ramadhan', 'penuh', 'berkah', 'sehat', 'abang', 'nya', 'murah', 'rezeki', 'lancar', 'bang', 'wajah', 'gembira', 'dengan', 'mata', 'bahagia']",positif,23
35,2023,"Masyaallah, ya Allah berilah kepada saudaraku willie usia yg panjang, sehat lahir batin, dan berilah limpahan rezeki pada willie yg tiada habisnya ya Allah serta selamatkan lah kami semua ya Allah dari siksa api nerakamu ya Allah aminnnnn",masyaallah ya allah ilah saudara willie usia sehat lahir batin ilah limpah rezeki willie tiada habis ya allah selamat ya allah siksa api neraka ya allah amin,"['masyaallah', 'ya', 'allah', 'ilah', 'saudara', 'willie', 'usia', 'sehat', 'lahir', 'batin', 'ilah', 'limpah', 'rezeki', 'willie', 'tiada', 'habis', 'ya', 'allah', 'selamat', 'ya', 'allah', 'siksa', 'api', 'neraka', 'ya', 'allah', 'amin']",positif,23
36,2024,  bangsaaaddd kalian berdua??????????,bangsaad dua tertawa terbahakbahak tertawa terbahakbahak tertawa terbahakbahak tertawa terbahakbahak tertawa terbahakbahak,"['bangsaad', 'dua', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak']",positif,23
37,2022,Bismillahh ??????coba di ksih nama moza mozi atau mauza mauzi ??,bismillah tangan angkat dan rapat sama tangan angkat dan rapat sama tangan angkat dan rapat sama coba kasih nama moza mozi mauza mauz hati merah,"['bismillah', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'coba', 'kasih', 'nama', 'moza', 'mozi', 'mauza', 'mauz', 'hati', 'merah']",positif,22
38,2023,Bismillah semoga aja ini rezeki hamba ya allah amin ya allah amin  willie mau  dong di ajak ke istananya  belanja bareng ajak donh nak willie??????????,bismillah moga rezeki hamba ya allah amin ya allah amin willie ajak istana belanja bareng ajak donh nak willie tepuk tangan tepuk tangan tepuk tangan tepuk tangan wajah senyum lebar mata hati,"['bismillah', 'moga', 'rezeki', 'hamba', 'ya', 'allah', 'amin', 'ya', 'allah', 'amin', 'willie', 'ajak', 'istana', 'belanja', 'bareng', 'ajak', 'donh', 'nak', 'willie', 'tepuk', 'tangan', 'tepuk', 'tangan', 'tepuk', 'tangan', 'tepuk', 'tangan', 'wajah', 'senyum', 'lebar', 'mata', 'hati']",positif,22
39,2024,Oke selamat ganteng itu kau punya rejeki sudah ganteng semoga kau sehat sehat terus karena smua manusia itu butuh kesehatan nomor satu kesehatan baru nomor dua uang,oke selamat ganteng kau rejeki ganteng moga kau sehat sehat manusia butuh sehat nomor sehat nomor uang,"['oke', 'selamat', 'ganteng', 'kau', 'rejeki', 'ganteng', 'moga', 'kau', 'sehat', 'sehat', 'manusia', 'butuh', 'sehat', 'nomor', 'sehat', 'nomor', 'uang']",positif,22
40,2021,Ya Allah Bapaknya sampe pegangin terus Uangnya ?? Betul kata Koko   Jangan lupa Bersyukur ???? Bismillah Ya Allah...Mudah2an Aku dapat THR dari Koko Willie..Aamiin YRA ????,ya allah bapak pegang uang wajah menang koko lupa syukur tepuk tangan jempol ke atas bismillah ya allah mudahmudahan thr koko willie amin yra tangan angkat dan rapat sama lipat tangan,"['ya', 'allah', 'bapak', 'pegang', 'uang', 'wajah', 'menang', 'koko', 'lupa', 'syukur', 'tepuk', 'tangan', 'jempol', 'ke', 'atas', 'bismillah', 'ya', 'allah', 'mudahmudahan', 'thr', 'koko', 'willie', 'amin', 'yra', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'lipat', 'tangan']",positif,21
41,2021,"Good attitude ?? good looking ?? good rekening, paket lengkap ????",good attitude hati merah good looking tepuk tangan good rekening paket lengkap wajah gembira urai air mata api,"['good', 'attitude', 'hati', 'merah', 'good', 'looking', 'tepuk', 'tangan', 'good', 'rekening', 'paket', 'lengkap', 'wajah', 'gembira', 'urai', 'air', 'mata', 'api']",positif,21
