,index,Tahun,Comments,preprocessed
28,30,2023,"  Saran saya coba mba pake produk  .slim.id_  produknya bagus mba bisa ngilangin perut buncit juga loh tanpa harus sedot lemak saya sudah cobain sendiri hasilnya emang bener2 bagus bngt di badan saya, produknya  .slim.id_ emng the best,semoga bisa bantu mba nya",saran coba mbak pakai produk slimid produk bagus mbak hilang perut buncit loh sedot lemak coba hasil benarbenar bagus banget badan produk slimid the best moga bantu mbak nya
29,31,2023,"Enak deh kayanya punya badan ramping dan langsing saya sudah coba olahraga teratur tapi BB masih ga turun turun,solusinya apa ya klo ada yang tau plis bntu dongg",enak deh kaya badan ramping langsing coba olahraga atur b turun turun solusi ya kalo tau plis bantu
30,32,2023,Di panggil Willi Salim trus di semua org wkwk,panggil willi salim orang wkwk
31,33,2023,Ada bang   dibelakang pass bang    bilang emas beo 😂😂,bang belakang pas bang bilang emas beo wajah gembira urai air mata wajah gembira urai air mata
32,34,2023,Mau bli yudist d tf THR galungan,beli yudist tf thr galungan
33,35,2023,"   gimana kak ,kami yg dri merauke GK prna dapat hadia dri kaka😢",kak merauke prna hadia kakak wajah menang
34,36,2023,Bismillah hoki bang,bismillah hoki bang
35,37,2023,  kirain tukang sulap bisa nebak kartu 😅,tukang sulap nebak kartu wajah senyum lebar dan keringat
36,38,2023,"Aku mau dong Ko   semoga rejeki awal bulan , pengen ngerasain dapat uang jajan dari seorang konten kreator muda kaya raya royal humble",moga rejeki pengin rasai uang jajan konten kreator muda kayak raya royal humble
37,39,2023,Andai joker.. Dapet mobil tuh..,andai joker mobil tuh
38,40,2023,Komen pertama nih bang mau dong 1 permintaan,komen nih bang minta
39,43,2023,Dulunya g punya cewek. skrang sekali punya cewek  langsung banyak,dulunya cewek cewek langsung
40,44,2023,Pinky dibsi lala pinky cuk,pinky dibsi lala pinky cuk
41,45,2023,"Bos Viral medsos membawa HARTA EMAS !! Semoga berkah, Tuhan memberkati   sebelumnya saya disabilitas Tuli",bos viral medsos bawa harta emas moga berkah tuhan kati disabilitas tuli
42,46,2023,HARTA TAHTA RICCIE 👑👑 STARBOY 👑👑,harta tahta riccie mahkota mahkota starboy mahkota mahkota
43,47,2023,HARTA TAHTA RICCIE 👑👑👑 STARBOY WELL!! ,harta tahta riccie mahkota mahkota mahkota starboy wel
44,49,2023,Berkah terus Kak   mau dong hape ipong nya kak,berkah kak hape ipong nya kak
45,50,2023,Cantik bgt kakaknya,cantik banget kakak
46,51,2023,Khasiat nya biar lancar kalo cewek yg minum.lah ini laki😂😂😂😂😂#kelar tu burung 🐦,khasiat nya biar lancar kalo cewek minum laki wajah gembira urai air mata wajah gembira urai air mata wajah gembira urai air mata wajah gembira urai air mata wajah gembira urai air mata burung burung
47,52,2023,bang baca PM,bang baca pm
48,54,2023,Aku juga bakal minta diamond ff🗿,diamond f moa
49,55,2023, .suwandi bang sehat?,suwandi bang sehat
50,56,2023,"pakean lu udah bolong bolong bang, dari pd beliin cewe mending beli baju lu dulu",pakean lu bolong bolong bang belikan cewek mending beli baju lu
51,58,2023,Sarah viloid forever young 😍 aku sangat ngefans banget sama kmu 😍❤️,sarah viloid forever young wajah senyum lebar mata hati fan banget wajah senyum lebar mata hati hati merah
52,59,2023,Bismillah hp buat hadiah bini,bismillah hp hadiah bini
53,60,2023,Popokin wiskas klo cwe datang bulan,popokin wiskas kalo cewek
54,61,2023,Bagi uangnya kak   200k 🙏,uang kak k lipat tangan
55,62,2023,Beruntung bnget itu mic,untung banget mic
56,63,2023,"  kurang famous seperti dulu, jadi harus buka dulu biar rame",famous buka biar rame
57,65,2023,  mirip anjayy srius,anjay srius
58,66,2023,  beda bgt lochh,beda banget loch
59,67,2023,Mirip km  ,
60,68,2023,Abg ini kn y ikut take me out itu,abang ya take me out
61,69,2023,Si kembar udah mulai aktif ygy,sih kembar aktif ygy
62,70,2023,"YUK MABAR DI AONCASH , KITA HABISKAN BANDAR, WEDE KAN SEBANYAK""NYA",yuk mabar aoncash habis bandar wede nya
63,71,2023,jual belahan dizaman now biar cuan😂,jual bahan zaman now biar cuan wajah gembira urai air mata
64,73,2023,"halllo bosku bosan kalah melulu dan bingung buat main di situs mana
jangan pusing agent855k,net solusinya yang menyediakan segala permainan
terbaru dan terlengkap hanya dengan minimal deposit 20 anda
bisa merasakan sensasi bermain layaknya bermain di Casino tunggu
apalagi gabung sekarang juga bosku",halo bos bosan kalah melulu bingung main situs pusing agentk net solusi sedia main baru lengkap minimal deposit rasa sensasi main layak main casino tunggu gabung bos
65,74,2023,     merep erpan,merep erpan
66,75,2023,"Cewe gue sarah yeet, lgi cantikk deh😚",cewek gue sarah yeet cantik deh wajah beri cium dengan mata tutup
67,76,2023,"Gabung Ke Wahanabolaorg Yukk Bosku
ada banyak promo menarik menunggu
klaim bonus dp hingga 400rb 
bonus kekalahan hingga 15%
depo pulsa tanpa potongan
Whatsapp: wa.me/6282110700795
#parlay #slotgacor #slotindonesia #kakekzeus #pulsatanpapotongan #wahanabola #bonus #freechip #freebet
#slotindo #slottergacor #antirungkat",gabung wahanabolaorg yuk bos promo tarik tunggu klaim bonus dp rb bonus kalah depo pulsa potong whatsap wame
68,77,2023,"Tuh cowok kemaren kemaren ikutan Take Me Out Indonesia, skrg ko malah ngonten sama Sarah, emang nya ga cemburu apa itu ceweknya ? Apa jangan jangan acara Take Me Out cuma Settingan yah ? Naikin pamor doang ?",tuh cowok kemarin kemarin ikut take me out indonesia ngonten sarah nya cemburu cewek acara take me out settingan ya naikin pamor doang
69,78,2023,Siapa yang mau bedonasi gol berapa juga,bedonasi gol
70,80,2023,Aku folowers kaka mau minta bantuan aku bingung kerja abis kontrak punya utang 2 juta klw gak kebayar motor aku di sita pegadaian aku suka nontin konten konten kaka bisa minta tolong gak kaka aku kerjanya gajinya kecil 60 rb  bisa bantu dana 0895380228539,folowers kakak bantu bingung kerja habis kontrak utang juta bayar motor sita gadai suka nontin konten konten kakak tolong kakak kerja gaji ribu bantu dana
71,81,2023,"Sarah cantik banget woy,. Bismillah di TF duit 😂",sarah cantik banget woy bismillah tf duit wajah gembira urai air mata
72,82,2023,Ini mah richie yg ikutan take me out😂😂,mah richie ikut take me out wajah gembira urai air mata wajah gembira urai air mata
73,83,2023,Tombol fokus ke toket nya>>>>,tombol fokus toket nya
74,84,2023, .suwandi  liat dia ustadz liat dia 😂,suwandi lihat ustadz lihat wajah gembira urai air mata
75,87,2023,Byakugan 👁👁,byakugan
76,88,2023,Rambut cwonya 🔥,rambut cwonya api
77,89,2023,Gw kira sapiloid datang bulan anjir 😂,gue sapiloid anjir wajah gembira urai air mata
78,90,2023,Beda ceritanya kalau di kasih kesaya,beda cerita kasih saya
79,91,2023,Jangan lama lama,
80,92,2023,Mending fokus yg ada hubungannya sama ngegame aja sih klu boleh kasih saran,mending fokus hubung ngegame sih kasih saran
81,93,2023,Naon sih 😅,naon sih wajah senyum lebar dan keringat
82,94,2023,Pokoknya di syukuri aja apa yg dilihat sekarang 😂,pokok syukur wajah gembira urai air mata
83,95,2023,"Mangga2bet
Kumpulan Quetos Katabijak2u
Link Quetos : https://www.youtube.com/channel/UCZ6Fxwdp-e51kDZtmgnACcw
#mangga2bet #mg2bet #mangga2gacor #slotmangga2bet #katabijak2u #zonabasah_lelaki #zonamata",manggabet kumpul quetos katabijaku link quetos lelaki
84,96,2023,Tombol--------------------> tombol,tombol tombol
85,97,2023, .d.yulian_ iya sih mending buat konten duet bucin aja sama teguh suwandi pasti lebih banyak yg view dan like,diyulian iya sih mending konten duet bucin teguh suwandi view like
86,98,2023,Gw gagal fokus sama mic nyaa 🤦,gue gagal fokus mic nya orang tepuk jidat
87,99,2023,Kapan bikin usaha ka,bikin usaha kak
88,100,2023,"Awalnya bilang ga pernah pacaran, akhirnya ngomong punya cewek. Puncak Komedi 🗿",bilang pacar omong cewek puncak komedi moa
89,102,2023,Bismillah selalu hadir di sosial media bang rici semoga rejeki,bismillah hadir sosial media bang rici moga rejeki
90,103,2023,  aku tau ap yg ada di pikiranmu,tau pikir
91,104,2023,Dulu gk seperty itu,seperty
92,105,2023,"Cewe kalo lagi pms pengen nyaa.... Ngamuk terus,marah marah gak jelas",cewek kalo pms pengin nya ngamuk marah marah
93,106,2023,Mantap belahannya😍,mantap belah wajah senyum lebar mata hati
94,108,2023,"Kita emang bukan adik kakak, bukan juga saudara,tapi kita satu pemikiran bro 😭😭😭",adik kakak saudara pikir bro wajah menang keras wajah menang keras wajah menang keras
95,109,2023,Pacar nya tah kak,pacar nya teh kak
96,110,2023,Auto haid anjing😂,auto haid anjing wajah gembira urai air mata
97,111,2023,tambah tambah ni,nih
98,112,2023,Cowo minum kiranti ngga bahaya,cowok minum kiranti bahaya
99,113,2023,Kemaein di take me out jadi nikahan kaga banh,kemaein take me out nikah kagak banh
100,115,2023,Ya nama saling membantu sarah 🎸🙌,ya nama bantu sarah gitar angkat tangan
101,116,2023,  kita gak kenal tp kita sepemikiran,kenal pikir
102,118,2023,ada yg sama?,
103,119,2023,"gausah dengerin orang ka sarah, i like everything about u!",dengar orang kak sarah i like everything about lu
104,120,2023,Mantep bgt tp cuma dkit😢😢,mantap banget dkit wajah menang wajah menang
105,121,2023,Ga bahaya ta,bahaya ta
106,122,2023,Itu pantyliner gak sih,pantyliner sih
107,124,2023,Siapanya ivan laf tu cowo?,siapa ivan laf cowok
108,125,2023,Ihh kirain lagi pacaran ka sarah 😂 ehh ko cocok sihh 🤭  .id,ih pacar kak sarah wajah gembira urai air mata eh cocok sih wajah dengan tangan tutup mulut id
109,127,2023,"Lebih respect sarah yg dulu, kalo skrg jd kesan nya jual belahan 👎",respect sarah kalo kesan nya jual bahan jempol ke bawah
110,129,2023,"Gini klu duit nya banyak, klu lgi mens di beliin rumah, sama di kasih duit.. ntr duit nya di jadiin pembalut 😂😂😂",duit nya mens belikan rumah kasih duit entar duit nya jadi balut wajah gembira urai air mata wajah gembira urai air mata wajah gembira urai air mata
111,130,2023,Bang sakit perut ga pas minum kiranti,bang sakit perut pas minum kiranti
112,131,2023,Emang boleh sekendor itu?,sekendor
113,132,2023,"Pake baju begini bikin konten joget 2 kek, malah lari lari, kan aku bayanginnya susah",pakai baju bikin konten joget kayak lari lari bayanginnya susah
114,134,2023,Lahh itukan cowok ditakeme out,itu cowok ditakeme out
115,135,2023,"Ciri"" clbk nih😂",ciri clbk nih wajah gembira urai air mata
116,136,2023,Apa coba,coba
117,137,2023,"Tulisan di mic sarah "" sarahmonic """,tulis mic sarah sarahmonic
118,138,2023,gw mau nanya  .id sebenarnya konten kaya gini buat apan ya ? 🙏,gue id konten kayak apan ya lipat tangan
119,139,2023,"Gimana Koh   Rasanya Kiranti?Ada asem,manis,pahit dikit ia,tp kalau yg cocok buat cewek Dateng bulan bisa meredakan nyeri dan Head yg GK terlalu lama Karna keluar lebih banyak,dan lebih cepat selesainya.🤭 TF 200rb untuk penjelasannya 🤑🤑🤑",koh kiranti asem manis pahit dikit cocok cewek reda nyeri head cepat selesai wajah dengan tangan tutup mulut tf rb jelas wajah materialistis wajah materialistis wajah materialistis
120,140,2023,Mata gue fokus ke anunya... 😎,mata gue fokus anu wajah kacamata hitam
121,141,2023,  bang gimana gambar tato di tangan udah belum?,bang gambar tato tangan
122,142,2023,kondom nggak termasuk ya,kondom ya
123,143,2023,"mentul"" cok 🥳🤤",mentul cok wajah pesta ngiler
124,146,2023,Cah edyan,cah edyan
125,147,2023,Coba sama aku kasih ipone nya kk😢,coba kasih ipone nya wajah menang
126,148,2023,itu ada mas willi jg ya ak ngevens banget am kalian pgn ak ketemu😍😍,mas willi ya ngevens banget pengin ketemu wajah senyum lebar mata hati wajah senyum lebar mata hati
127,149,2023,Gi mana si aku dah follow komplit gak ada ke lirik😭😭😭,gi sih deh follow komplit lirik wajah menang keras wajah menang keras wajah menang keras
128,151,2023,Wili gak bisa joget??,wili joget
129,152,2023,😂😂😂 hp.nya kasih saya saja bang....,wajah gembira urai air mata wajah gembira urai air mata wajah gembira urai air mata hpnya kasih bang
130,153,2023,Pake batik 👏👏👏👏❤️,pakai batik tepuk tangan tepuk tangan tepuk tangan tepuk tangan hati merah
131,154,2023,Bang lagi butuh uang,bang butuh uang
132,157,2023,Aduh itu kan artis tiktok luar negri,aduh artis tiktok negeri
133,158,2023,Wilie mah nggak asik main nya harta😂😂😂,wilie mah asik main nya harta wajah gembira urai air mata wajah gembira urai air mata wajah gembira urai air mata
134,159,2023,Kang setingan gausah sok asik,kang ting sok asik
135,160,2023,Yg lain lagi sibuk buat konten menghibur yang satu masih ajah flexing nyari duit dari give away 😂,sibuk konten hibur flexing cari duit give away wajah gembira urai air mata
136,161,2023,Hahahaha kaku amat kak riccienick 🤭 kak Wille no expresi 😍,hahahaha kaku kak riccienick wajah dengan tangan tutup mulut kak wille no ekspresi wajah senyum lebar mata hati
137,162,2023,Sini dong itu HP buatku🙏🏻,hp buat lipat tangan warna kulit cerah
138,163,2023,  kangen mas   di Indonesia😍,kangen mas indonesia wajah senyum lebar mata hati
139,164,2023,Kirain erpan,erpan
140,165,2023,Willi nya gak tau joget.😀,willi nya tau joget wajah gembira
141,166,2023,"Haha 😂 
How do you like it?!",haha wajah gembira urai air mata how you like
142,167,2023,Dah follow gk pernah dapat iphone,deh follow iphone
143,168,2023,Sehat terus orang baik🙌🙌,sehat orang angkat tangan angkat tangan
144,169,2023,  wkwkwk,wkwkwk
145,171,2023,"Cringey shit house.
Embarrassing you do this",cringey shit house embarrassing you this
146,172,2023,  nya udah rapi😁,nya rapi wajah gembira dengan mata bahagia
147,174,2023,"Bagi"" Rejekinya dong kawan",rejekinya kawan
148,175,2023,"You look so funny wearing batik,,,,,,,😂😂😂🤭🤭🤭",you look sok funny wearing batik wajah gembira urai air mata wajah gembira urai air mata wajah gembira urai air mata wajah dengan tangan tutup mulut wajah dengan tangan tutup mulut wajah dengan tangan tutup mulut
149,176,2023,Menino molinha 💚🧸💚,menino molinha hati hijau boneka beruang hati hijau
150,178,2023,  belom balik modal,modal
151,179,2023,❤️tuhan selalu menyertai kalian amin,hati merah tuhan serta amin
152,180,2023,Senjata makan tuan ya 😂😂,senjata makan tuan ya wajah gembira urai air mata wajah gembira urai air mata
153,181,2023,"Kalian derdua nga di cariin keluarga kah,ke Indonesia terus",derdua cari keluarga kah indonesia
154,182,2023,Make him pay 😂😂😂,pakai him pay wajah gembira urai air mata wajah gembira urai air mata wajah gembira urai air mata
155,183,2023,Kena batunya hihihi,kena batu hihihi
156,184,2023,Tolongin ibu D mau bayar utang 500-000 bca 6831002309 tolong ibu D Follow,tolongin bayar utang baca tolong follow
157,186,2023,Harus Bangga,bangga
158,187,2023,Wille bule sama!!,wille bule
159,188,2023,Uno reverse card,uno reverse card
160,189,2023,pake baju batik..,pakai baju batik
161,190,2023,Kok mirip si erpan 🗿,sih erpan moa
162,192,2023,Will bisa km joged knyak gitu,wil joged knyak
163,193,2023,Give me ipone😂,give me ipone wajah gembira urai air mata
164,194,2023,Ini beda nih,beda nih
165,196,2023,Luar biasa,
166,197,2023,Udah bs aja pake bahasa indonesia❤️❤️❤️,pakai bahasa indonesia hati merah hati merah hati merah
167,198,2023,Sini kasi saya hpx,kasih hpx
168,200,2023,Welcome to indonesia🙌,welcome indonesia angkat tangan
169,202,2023,Keren bang dance nya...,keren bang dance nya
170,203,2023,For me kak please iPhonenya mau bngt tpi gk pernah dpt2 jg 😭,for me kak please iphonenya banget dpt wajah menang keras
171,204,2023,wkwkwkw.gini yaak seru.gantian😂,wkwkwkwbegini ya serugantian wajah gembira urai air mata
172,205,2023,  duet coba bang ikram,duet coba bang ikram
173,206,2023,Saya perna lihat mereka buat video di jakarta Barat di gremvil di Alfamart,lihat video jakarta barat gremvil alfamart
174,207,2023,Bang willie😮😮👏👏,bang willie wajah dengan mulut buka wajah dengan mulut buka tepuk tangan tepuk tangan
175,209,2023,Bang   cool bnget sihh... Expresinya ❤️,bang cool banget sih expresinya hati merah
176,210,2023,BG Noel 👏 cool 😍,bang noel tepuk tangan cool wajah senyum lebar mata hati
177,211,2023,"  Damn....I hate to have to say this but this is true. My wife is the most faithful lady....her phone has been 10years old but currently I am unabel to grab her a new one...due to lack of ""rizki"" if you know. Any chance You cN help me ""dance her a new android"" for her work needs.... Will be so happily appreciated",damn i hate have sayang this but this is true my wife is the most faithful lady her phone has been years old but currently i unabel grab her a new one due lack of rizki if you know any chance you cn help me dance her a new android for her work needs wil be sok happily appreciated
178,212,2023,"Ricci , noel , and willie 😎👍",ricci noel and willie wajah kacamata hitam jempol ke atas
179,216,2023,gua liat lu di take me out indonesia bro wkwkwk😂,gua lihat lu take me out indonesia bro wkwkwk wajah gembira urai air mata
180,217,2023,nah bang wily nih aku ngitutin terus semua  kontene wily hmm,bang wily nih ngitutin kontene wily hm
181,219,2023,Mau minta duit dong ka 5jt ajah ka,duit kak jt kak
182,220,2023,  😂😂😂😍😍😍😂,wajah gembira urai air mata wajah gembira urai air mata wajah gembira urai air mata wajah senyum lebar mata hati wajah senyum lebar mata hati wajah senyum lebar mata hati wajah gembira urai air mata
183,221,2023,Terima kasih orang baik,terima kasih orang
184,222,2023,Hallo koko,halo koko
185,223,2023,This is ridiculous,this is ridiculous
186,224,2023,Pertama kali liat bule pake batik👏,kali lihat bule pakai batik tepuk tangan
187,225,2023,😂😂😂👏👏 berani balas dendam,wajah gembira urai air mata wajah gembira urai air mata wajah gembira urai air mata tepuk tangan tepuk tangan berani balas dendam
188,227,2023,Seandainya saya dapat iphone Alhamdulillah,anda iphone alhamdulillah
189,228,2023,iPhone ipone ipone semoga bang Willy nurutin kata2 aqu ... ipone ipone ipone,iphone ipone ipone moga bang willy nurutin katakata ipone ipone ipone
190,229,2023,  real dance,real dance
191,232,2023,Saya mau hadiahnya,hadiah
192,234,2023,Like shiieeeeet,like shiieet
193,235,2023,Youtuber no 1 aku dong kirimin iphon,youtuber no kirim iphon
194,236,2023,  lah padahal dia udah terkenal,kenal
195,237,2023,"Semoga Allah selalu membuka pintu-pintu langit-Nya dengan menebarkan rahmat yang tak pernah terputus, menghilangkan segala angkara murka didunia, mengalirkan rezeki dengan deras tanpa terputus dengan keberkahan yang menyertai didalamnya, mengampuni segala khilaf dan dosa, melapangkan selalu hati dengan keikhlasan yang sempurna. Aamiin",moga allah buka pintupintu langit tebar rahmat putus hilang angkara murka dunia alir rezeki deras putus berkah serta dalam ampun khilaf dosa lapang hati ikhlas sempurna amin
196,238,2023, .erpan1140 kirain lu bang,erpan lu bang
197,239,2023,Wahhh jiplak punyaknya   😂😂😂,jiplak punyaknya wajah gembira urai air mata wajah gembira urai air mata wajah gembira urai air mata
198,242,2023,Bang lu lg ngonten sama fourtwenty ya😂,bang lu ngonten fourtwenty ya wajah gembira urai air mata
199,243,2023,Perkumpulan orang kaya,kumpul orang kayak
200,244,2023,Jir pake batik,jir pakai batik
201,245,2023,  thank you udah pake batik bro...,thank you pakai batik bro
202,246,2023,Bang mau dong iphone nya buat sklh,bang iphone nya sekolah
203,247,2023,Oh gini trik nyari followers dgn modal 100rb ?,oh trik cari followers modal rb
204,248,2023,"Gak percayaaa, kalo asli kirim ke saya",percaya kalo asli kirim
205,249,2023,Mau iphon bg,iphon bang
206,251,2023,Aku mau iPhone KK boleh GK kk,iphone
207,252,2023,KK aku udh follow KK 😍,follow wajah senyum lebar mata hati
208,253,2023,Klo aq udah ku bawa pulang lgsung ..orang udh di suruh,kalo ku bawa pulang langsung orang suruh
209,254,2023,Gw yg ga pernah dapat dari orang orang yg gw follow yg terkenal tapi gak pernah dapat 😢,gue orang orang gue follow kenal wajah menang
210,255,2023,"Lu gamau rugi anying, kmrn ada yg udh flow ig,tt dn lu blg ""wah kamu blm flow yt aku gdpet deh"" 😭😭😭",lu rugi anying kemarin flow ig t lu bilang flow yt gdpet deh wajah menang keras wajah menang keras wajah menang keras
211,256,2023,Udah follow instagram kakak,follow instagram kakak
212,257,2023,Kak mauuuuuuuuu,kak
213,258,2023,Lang ambil apa susanya,lang ambil susanya
214,259,2023,   bang isi dana gw boleh ga bang😭 lagi butuh bang mau jajan😢,bang isi dana gue bang wajah menang keras butuh bang jajan wajah menang
215,261,2023,"Tinggal bilang makasih koh , terus pergi Napa 😢",tinggal bilang terima kasih koh pergi wajah menang
216,262,2023,"Gila udh dipegang ga dikasih ,nora lu",gila pegang kasih nora lu
217,263,2023,"Orang kaya mah megang IP udah biasa anjoy,kalo gw yang pegang udah jingkrak²an",orang kayak mah pegang ip anjoy kalo gue pegang jingkrak an
218,264,2023,Aku koo  pingin dari dulu .. hp ku jadul terus,pengin hp ku jadul
219,266,2023,Mau dong hp nya buat sekolah anak.,hp nya sekolah anak
220,268,2023,"Biasanya kalo ada yang blum follow,pasti bilang mau jadi pacar aku ngk.kenapa ada tantenya ya",kalo follow bilang pacar enggakkenapa tante ya
221,269,2023,goblok orang udah ngarep juga depan emaknya lagi ujung ujungnya cuma di kasih cepe blok,goblok orang harap emaknya ujung ujung kasih cepe blok
222,270,2023,Lha gw udh follow,gue follow
223,271,2023,apansi banggg ngeselin bangett caranyaaaa,apansi bang kesal banget
224,272,2023,Boleh koh...hpnya..15pro...,koh hpnya pro
225,273,2023,Gasss poolls,gas poolls
226,274,2023,Setingan anjrit🤣🤣,ting anjrit tertawa terbahakbahak tertawa terbahakbahak
227,275,2023,Klo gk ada mama nya pasti di pacarin tu cwe🗿,kalo mama nya pacarin cewek moa
228,276,2023,Palembang menunggu,palembang tunggu
229,278,2023,Oi kasih itu yang membutuhkan bukan cewek sengsong eeeee,oi kasih butuh cewek sengsong e
230,279,2023,Sudah folow,folow
231,280,2023,Konten kosong,konten kosong
232,282,2023,Tumben ga ngajak pacaran? Ada mamah nya ya?😮,tumben ajak pacar mamah nya ya wajah dengan mulut buka
233,284,2023,PHP anjirr,php anjir
234,285,2023,Ko sebel ya liatnya ke maenin hati gitu PHP 😏,sebel ya lihat maenin hati php wajah senyum sombong
235,286,2023,Congor lu bau bang,congor lu bau bang
236,287,2023,Meskipun z follow kokoh tp gk prnh keluar jd gk bakalan ketemu.klo mw ngasih boleh koh dm dtg krmh....😢,follow kokoh ketemukalo asih koh dm rumah wajah menang
237,289,2023,bjirr gw kira dapet,bjir gue
238,292,2023,tumben ga ngajak pacarann,tumben ajak pacar
239,293,2023,Haha 100 . Kayk nya anak itu LBH bnyak uang nya,haha kayk nya anak uang nya
240,295,2023,Bjirr lahh php kata dia tehh,bjir php teh
241,296,2023,"  eh konten begini boleh di report ga si?? Kayak pengemis followers jadinya,mana banyak lagi yg konten begini 🤣",eh konten report sih kayak emis followers konten tertawa terbahakbahak
242,297,2023,Kirain benaran cuma²,benar cuma
243,300,2023,Banyak omong,omong
244,301,2023,Bapak lu kerja apa sih bang,lu kerja sih bang
245,302,2023,PHP tai😂,php tahi wajah gembira urai air mata
246,303,2023,sentul dong,sentul
247,304,2023,"Dia belum kenalan, tpi kok udah tau nama cew itu, padahal cew nya juga gak pakai bame tag tuh, fix ini setingan 😂😂😂",kenal tau nama cewek cewek nya pakai bame tag tuh fix ting wajah gembira urai air mata wajah gembira urai air mata wajah gembira urai air mata
248,305,2023,konten pembodohan,konten bodoh
249,306,2023,Itu yg dpt cumann yg dikota wkwk,cuman kota wkwk
250,307,2023,Kaka aku mau yang bekas aja gpp,kakak bekas gp
251,308,2023,Taik hpnya g dikasi hrus fflw dlu baru🗿,tahi hpnya kasi fflw moa
252,311,2023,mungkin sodaranya,sodaranya
253,312,2023,semua yutuber yg begini selalu ngasi ke cindo juga,yutuber asih cindo
254,313,2023,Hahaha gitu bg buat nambah followers tipu tipu,hahaha bang tambah followers tipu tipu
255,314,2023,Mau dong bang,bang
256,315,2023,PHP aj*ng,php ng
257,316,2023,Biasa nya ngajak pacaran wkkwkw 😂,nya ajak pacar wkkwkw wajah gembira urai air mata
