,Tahun,Comments,preprocessed,,
127,2020,Kakak sisca simi mang ka,kakak sisca simi kak,,
128,2020,@ttantyynxv Tuh bikin sanaa,tuh bikin,,
129,2020,Chimmy ka,chimmy kak,,
130,2020,https://chat.whatsapp.com/JlObl6w1jHQ6ToYEblFkRV kk sisca khol mau masuk grup army aku ga kk,sisca khol masuk grup army,,
131,2020,Bikin lah ?@nurarifni_16,bikin,,
132,2020,Mau chimi dan shorkie,chimi shorkie,,
133,2020,dijual jg laris inisikk chocobomb character,jual laris inisik chocobomb character,,
134,2020,Kak bikin karakter chimmy sama mang kak,kak bikin karakter chimmy kak,,
135,2020,koya plis,koya plis,,
136,2020,Koya sama mang kak,koya kak,,
137,2020,Emang itu teh kukitata tuh peliharaan kalo emang peliharaan itu nama nya apa peliharaan nya,teh kukitata tuh pelihara kalo pelihara nama nya pelihara nya,,
138,2020,Kak bikin ciymiy dan rj,kak bikin ciymiy rj,,
139,2020,Bikin karakter chimmy boleh ga kaka siska kohl,bikin karakter chimmy kakak siska kohl,,
140,2020,Karakter chimmy kaa sisca,karakter chimmy kak sisca,,
141,2020,Karakter chimmy kak,karakter chimmy kak,,
142,2020,Mang ka,kak,,
143,2020,Auto bookmark wkwk,auto bookmark wkwk,,
144,2020,Rj sm shokky pasti gampang banget karna warna nya basic?,rj shokky gampang banget warna nya basic,,
145,2020,Chimiy dan koya,chimiy koya,,
146,2020,Rj dan shoky ka,rj shoky kak,,
147,2020,Karakter chimi donk kak,karakter chimi kak,,
148,2020,@nadiaajengsari  iya pen bat,iya pengin banget,,
149,2020,Bikin karakter boboiboy dan kawan -kawannya,bikin karakter boboiboy kawan kawan,,
150,2020,Semua karakter bt21 dong,karakter bt,,
151,2020,Muka nya aja bts,muka nya bts,,
152,2020,Kk bikin yg RJ sama CIMMY,bikin rj cimmy,,
153,2020,Chimmy sama rj,chimmy rj,,
154,2020,Chimmy dan Koya kk,chimmy koya,,
155,2020,gemeess bgtt ??,gemees banget,,
156,2020,Kak coba bikin versi semua BT21 pasti gemoyyy?,kak coba bikin versi bt gemoy,,
157,2020,Van dan mang plis,van plis,,
158,2020,Kaka coba bikin coklat semua bts,kakak coba bikin coklat bts,,
159,2020,Hello Kitty kak,hello kitty kak,,
160,2020,Skzoo kak,skzo kak,,
161,2020,Kakak bikin bt21 chimmy koya,kakak bikin bt chimmy koya,,
162,2020,Blek Ping kak,blek ping kak,,
163,2020,kakkk bales dm tolong,kak balas dm tolong,,
164,2020,Di tempatq namanya lopes,tempatq nama lopes,,
165,2020,Di tempat ku martabak manis/ terang bulan,ku martabak manis terang,,
166,2020,@devinuruladini mending beli aja mom wkwk,mending beli mom wkwk,,
167,2020,Terang bulan kak,terang kak,,
168,2020,@sopsopsoppp AYO KITA MINTA,ayo,,
169,2020,Tarang bulan,tarang,,
170,2020,Ditempat ku namanya terang bulan,tempat ku nama terang,,
171,2020,"Di tempatku namanya apam pinang, ada jg beberapa yg bilang martabak manis",tempat nama apam pinang bilang martabak manis,,
172,2020,Sama kak martabak manis,kak martabak manis,,
173,2020,@r_julv tapi yg makan kamu,makan,,
174,2020,Kalo aku namanya sinar bulan,kalo nama sinar,,
175,2020,Kalau dipun nya ku mar tambak manis,pun nya ku mar tambak manis,,
176,2020,Bikin macaron bt21 ka,bikin macaron bt kak,,
177,2020,@zahraaqh saya tidak suka:),suka,,
178,2020,Kak buat makanan yang terbuat dari cokelat yang enak dan lumer,kak makan buat cokelat enak lumer,,
179,2020,Bikin color kak,bikin color kak,,
180,2020,Teramg bulan,teramg,,
181,2020,Itu bukan martabak itu kue bandung?,martabak kue bandung,,
182,2020,tempe mendoan cek ??,tempe mendoan cek,,
183,2020,Knp masak di kamar terusss? kali" di dapur dong,masak kamar kali dapur,,
184,2020,gapunya alatnya doang cek,alat doang cek,,
185,2020,Terang bulan?,terang,,
186,2020,"Ka. Bikin. Gulali. Dari. Ayam. KFC. Dong,. T ini",kak bikin gulali ayam kfc t,,
187,2020,"Enakk ya ga pake parkir, gapake antri kalo pengen apa-apa langsung buat dikamar everiting ada ?",enak ya pakai parkir pakai antri kalo pengin apaapa langsung kamar everiting,,
188,2020,Request martabak tai kak,request martabak tahi kak,,
189,2020,@febryani13_ salam damai ???,salam damai,,
190,2020,Teramg bulan ??,teramg,,
191,2020,@yuniperot i find u:v,i find lu v,,
192,2020,Say brpa takarannya di tulis dong?,sayang takar tulis,,
193,2020,@inta.nia03 aku juga terang bulan di kaltim,nia terang kaltim,,
194,2020,Tarang bulan ?,tarang,,
195,2020,Klok di daerah ku terang bulan,kalo daerah ku terang,,
196,2020,@igd.yudasaputra_03 dikalimantan jg terang bulan,yudasaputra dikalimantan terang,,
197,2020,@nameera.27 Aku dari bali,bal,,
198,2020,Didaerah ku nama nya martabak mahal?,daerah ku nama nya martabak mahal,,
199,2020,Itu tepung terigu nya pake protein apa kak??,tepung terigu nya pakai protein kak,,
200,2020,Terang bulan namanya di sini,terang nama,,
201,2020,Terang bulan namanya,terang nama,,
202,2020,mulai bersarang @magsfir,sarang,,
203,2020,Yg triphobia mana suaranya???,triphobia suara,,
204,2020,Ka bikin cakwe hantu goreng itu ks,kak bikin cakwe hantu goreng ks,,
205,2020,Martabak telur donkk (martabak asin),martabak telur martabak asin,,
206,2020,Kak coba bikin martabak manis yang topingnya macam macam selai,kak coba bikin martabak manis topingnya selai,,
207,2020,Martabak  manis,martabak manis,,
208,2020,"@hakaanr bnyak konten makanan lainnya, cuman bukan dompet pelajar, karna pake emas semua:(",konten makan cuman dompet ajar pakai emas,,
209,2020,terang bulan,terang,,
210,2020,Kk masak bakso k,masak bakso,,
211,2020,@siscakohl makan pinggir jalan chekkk,makan pinggir jalan chek,,
212,2020,Terang Bulan:v,terang v,,
213,2020,Kak taruh komposisi setiap bahannya,kak taruh komposisi bahan,,
214,2020,Buseettt kalengnya sampe penyok ?,buseet kaleng penyok,,
215,2020,Apam kebeu kk,apam kebeu,,
216,2020,Kk masak burger donk,masak burger,,
217,2020,saya nak perisa bawang,nak perisa bawang,,
218,2020,Kk buat martabak pakai keju mozarella donk kk,martabak pakai keju mozarella,,
219,2020,Terang bulan ciiii,terang ci,,
220,2020,Kak minta takarannya dund :),kak takar dund,,
221,2020,Terang bulan,terang,,
222,2020,@belskuyy sama gw juga,gue,,
223,2020,@dalilatihusnah muak.. ????,muak,,
224,2020,"@zhuuying hahaa, bener.. tunggu aja kalo umur udah mw 30 th, pas di medical check up.. keliatan dah tu gula darah meningkat, plus fatty liver.. ?",haha tunggu kalo umur pas medical check up deh gula darah tingkat plus fatty liver,,
225,2020,Itu mata nyh ke kamera mulu apa g tumpah adononnyh,mata nyh kamera mulu tumpah adononnyh,,
226,2020,@ruth23421 iyaaa hahahah,iya hahahah,,
227,2020,ci bikin es cendol dong,ci bikin es cendol,,
228,2020,Mamah @mbhlakh buat ih?,mamah ih,,
229,2020,kamarku adlah dapurku,kamar adlah dapur,,
230,2020,gatau kenapa gue kesel aja liat mukanya  sama suara nya,tau gue kesel lihat muka suara nya,,
231,2020,"Itu knp ga dikeluarim dari loyangnyah, dan menurutku terlalu kentel adonannya",dikeluarim loyangnyah turut kentel adon,,
232,2020,@najwakhairunnisa14 gawe yok sayang,gawe yuk sayang,,
233,2020,@aiis.ssss hyu bikin,si hyu bikin,,
234,2020,Geli gue liat terang bulanya,geli gue lihat terang bulanya,,
235,2020,@tas.yaaaa_ kuy,yaa yuk,,
236,2020,Cara dia ngeluarin skm nya :'),keluar skm nya,,
237,2020,kalau kat malaysia makanan tu dipanggil apam balik,kat malaysia makan panggil apam,,
238,2020,@keysiaparerung yoii,yoi,,
239,2020,Nada ngomongnya bikin bengek ako ??,nada omong bikin bengek ako,,
240,2020,@anggernovando__ bikin yuuk,bikin yuk,,
241,2020,Di tempat ku namanya tersng bulan,ku nama tersng,,
242,2020,Martabak?? Bukan nya martabak itu yang telor dicampur sayur daging trus ditutup pakek kulit lumpia atau sejenis nya?,martabak nya martabak telor campur sayur daging tutup pakai kulit lumpia jenis nya,,
243,2020,@keysiaparerung BENER BANGETTT,banget,,
244,2020,Ka ganggu g aku bomlike? Maaf yah ka . Soalnya aku ngarep bgt dapet hp buat suami aku kerja. Hp nya mati2 terus. Aku stop bomlike nya takut ganggu. Kalau masih boleh bomlike ayo aku siap ??,kak ganggu bomlike maaf ya kak harap banget hp suami kerja hp nya mati stop bomlike nya takut ganggu bomlike ayo,,
245,2020,Kak. Kl mau Halloween ke Wyndham hotel di Casablanca jakarta aja ?,kak kalo halloween wyndham hotel casablanca jakarta,,
246,2020,@sheeeeenya aku sudah mengikutinya dari dulu ??,ikut,,
247,2020,@aykhrnsa sampe sini maksutnyaa,maksutnya,,
248,2020,@sheeeeenya kenaffa aku ??,kenaffa,,
249,2020,Dahlah ini mirip @primarifqah wk,dah,,
250,2020,@dayana.syafira.12 iya ya,syafira iya ya,,
251,2020,@clubantikere palingan udah dicuci sebelum buatnya,paling cuci buat,,
252,2020,Cosplay Belle delphine,cosplay belle delphine,,
253,2020,Kalo sisca KHOL apanya??,kalo sisca khol apa,,
254,2020,lucu jg mienya jd item,lucu mienya item,,
255,2020,"Tadi itu ada ,kembang kol, @Sisca Kohl,dan #aliyyah Kohl",kembang kol kohl kohl,,
256,2020,Aku suka ide buat bikin matanya kreatif banget,suka ide bikin mata kreatif banget,,
257,2020,Sadis banget,sadis banget,,
258,2020,Itu brokoli ngga di rendem air garem uletnya banyak loh,brokoli rendem air garem ulet loh,,
259,2020,Lagu nya gak cocok sumpah,lagu nya cocok sumpah,,
260,2020,Hollowen kok baju nya hak serem,hollowen baju nya hak seram,,
261,2020,aliyya mukanya anime banget,aliyya muka anime banget,,
262,2020,@aullllllllllllllllll wkwkwk ngestalk ampe bawah ya lu? Wkwk,wkwkwk ngestalk ya lu wkwk,,
263,2020,@viniarnti jadi inget sayur bapak gue dikasih pewarna wkwkwkwk,sayur gue kasih warna wkwkwkwk,,
264,2020,Woww kreatiff bgt!!!! Keyeeennn???????????????? @siscakohl,wow kreatif banget keyeen,,
265,2020,Kreatif bgt?,kreatif banget,,
266,2020,Gw kira yg iyem itu mi ghost paper,gue iyem mi ghost paper,,
267,2020,Headsetnya .... ?,headsetnya,,
268,2020,"ada barang bagus nih kak , sudah saya dm",barang bagus nih kak dm,,
269,2020,"Halo ka cantik, cek dm ya?",halo kak cantik cek dm ya,,
270,2020,Mienya serem beut gak sih ?,mienya seram banget sih,,
271,2020,Freaky njirrrrr,freaky anjir,,
272,2020,Ade lu ko dari awal cuma ????????,adek lu,,
273,2020,Aneh pasti rasanya?,aneh,,
274,2020,Aneh dahh hadeuh ?????,aneh deh aduh,,
275,2020,Ekpresi ade nya lucu bgt setiap video ??????,ekpresi adek nya lucu banget video,,
276,2020,Pasti Rasanya Seperti Anda menjadi Iron man??,iron man,,
277,2020,Im so scared,im sok scared,,
278,2020,Bikin ngilerrr,bikin ngiler,,
279,2020,Adenya tertekan ???,adeknya tekan,,
280,2020,Susah bgt bikin nya,susah banget bikin nya,,
281,2020,wkwk @riasitamayang,wkwk,,
282,2020,Sultan tapi tutup panci nya??,sultan tutup panci nya,,
283,2020,@elland_smithh yuk,yuk,,
284,2020,Mukbang jajangmyeon dong kak please...,mukbang jajangmyeon kak please,,
285,2020,ndak ngerti aku dia bilang ocujang majujang,indak erti bilang ocujang majujang,,
286,2020,Di spa auto meninggoy sumpah !!,spa auto meninggoy sumpah,,
287,2020,Hyng Odeng ii @risya.echaa @pptryni___ @sintaa_hr,hyng odeng i echa,,
288,2020,Kak mukbang macaron,kak mukbang macaron,,
289,2020,Mukbang mie samyang dong kak,mukbang mie samyang kak,,
290,2020,pengen makan ini @cikmat_sef @yudik110,pengin makan,,
291,2020,gak usah nnton drakor kalau segitu enak makannya kak ya Tuhan,tonton drakor segitu enak makan kak ya tuhan,,
292,2020,"@luciargya kalau itu no comment ,tp gue lbh prefer bikin makanan sendiri dr pd jajan di warung nyokap gue dr kecil suka bikin makanan dirumah lbh hemat dan kenyangin dr pd jajanan diabang2 atau warung actually,kalau di hitung2 pengeluaran lbh better bikin makanan sendiri toppoki 30rb udh bisa kenyangin banyak satu rumah jg",no comment gue prefer bikin makan jajan warung nyokap gue suka bikin makan rumah hemat kenyangin jajan abang warung actually hitung keluar better bikin makan toppoki rb kenyangin rumah,,
293,2020,"@rianimb94 hmmmmm mnrutku sh mhal soalnya lebih mnding buat jjan anak dri pd jjan aku smpe sgtu? ,, beli mie lidi aja q mahh udahh, sneng bgt,, ?",hm mnrutku sh mhal mending jjan anak jjan beli mie lidi ku mah senang banget,,
294,2020,@thrsnstsy_ semahal2 paketnya ratusan ribu yg 100rb banyak direstoran mahal bgt ?,mahal paket ratus ribu rb restoran mahal banget,,
295,2020,"@thrsnstsy_ mahal bagaimana toppoki ada yg 30an rb jg ada dishopee mbak kimchi gue beli di diamond cuma 40an rb trs keju nya pakai yg indonesia di diamond murah2,terus pakai ramyeon gk sampe 100rb paling mahal 50rb dr pd beli di restoran jauh lbh mahal gue suka bikin dirumah terus buat bikin gimbab nya bikin sendiri bahan2 muda dicari",mahal toppoki an ribu dishope mbak kimchi gue beli diamond an ribu keju nya pakai indonesia diamond murah pakai ramyeon rb mahal rb beli restoran mahal gue suka bikin rumah bikin gimbab nya bikin bahan muda cari,,
296,2020,@aanggrianii_ shiittt,shiit,,
297,2020,@amel_ramadhani19 hayukk,hayuk,,
298,2020,@feronicaandinii Bikin ini besok yok kak,bikin besok yuk kak,,
299,2020,Kenapa Nggak Buat YouTube Buat Mukbang Atau Asmr Aja Kak,youtube mukbang asmr kak,,
300,2020,@mutia_syofianita ngiler dk nii ? ?,ngiler dk nih,,
301,2020,@inn.frh gaskeun. beli bahannya,frh gaskeun beli bahan,,
302,2020,@choo.1112 beneran lah kuy gas?,benar yuk gas,,
303,2020,@inn.frh mungkinkah wacana,frh wacana,,
304,2020,@choo.1112 buat yuk?,yuk,,
305,2020,Halal gk?,halal,,
306,2020,@larisaoctaviane @innekerizni sama aku juga pengen beli aja. kalo bikin takut aku yang disuruh masak ?,pengin beli kalo bikin takut suruh masak,,
307,2020,@larisaoctaviane sarua tp ingn beli soalna klo dimasakin tkt ga enak??,sarua ingn beli soalna kalo dimasakin tkt enak,,
308,2020,Hayang bikin ini @kharisyabella @innekerizni,hayang bikin,,
309,2020,asli si topoki itu rasanya kaya cilokkk ????pernah coba,asli sih topoki kayak cilok coba,,
310,2020,Samyang kak,samyang kak,,
311,2020,aku mau kalin mukbang mi,kalin mukbang mi,,
312,2020,Rapi banget si masaknyaa?,rapi banget sih masak,,
313,2020,"Kak, beli bahan nya dimana.. jadi pengen ikut beli aku",kak beli bahan nya mana pengin beli,,
314,2020,@dnrsntk trims mbak ?,terima kasih mbak,,
315,2020,"@tasbajubogor31 suki, isinya keju pasta",suki isi keju pasta,,
316,2020,"gaiss.. .yg bulat kerucut warna orange belang2 itu, namanya apa ya ??",gais yang bulat kerucut warna orange belang nama ya,,
317,2020,@derasagustini emm enyak,em enyak,,
318,2020,Ga ngebul tuh kamer,ngebul tuh kamer,,
319,2020,"Odeng,rasanya seperti anda menonton K-Drama.",odeng tonton drama,,
320,2020,?? @c.msll,msl,,
321,2020,@lemonchild04_ jadi pengennn?,pengin,,
322,2020,Beli bahan nya yg susah? beli bahannya dimana kak?,beli bahan nya susah beli bahan mana kak,,
323,2020,Makan corndog mozarella dong,makan corndog mozarella,,
324,2020,Mukbang pitzza????,mukbang pitzza,,
325,2020,Fix adeknya yang kiri mirip lu @pshty15,fix adeknya kiri lu,,
326,2020,Mukbang mi samyang pakek jabe rawit di potong potong minum kalau sudah habis??,mukbang mi samyang pakai jabe rawit potong potong minum habis,,
327,2020,Kak beli nya di mana?,kak beli nya,,
328,2020,gg jd lafarr.. bagi pls ?,lafar pls,,
329,2020,seakur itu dia dengan kakak nya?,akur kakak nya,,
330,2020,@dl_septiana buat lah kau del,kau del,,
331,2020,@_05nayshella selera kli aku dos,selera kali dos,,
332,2020,@gismanwwe drmhta ada mi background hijau to ?,drmhta mi background hijau,,
